"id","Product Title","Product Price","Product Original Price","Product Discount","Product URL","Product Image","Product Rating","Store Name","Store URL","Store ID","Total Sales","Ship From","Store Member ID","Trade Info","Sold Count","Shipping","Launch Time","Company Name"
"3256811531704092","1-Pack Cute Blueberry Lava Ice Cream Squeezable Toy, Soft Squeezable Toy, High-Value Popsicle Stress Relief Toy, Anti-Anxiety Ma","US $4.97","US $11.57","56%","https://aliexpress.com/item/3256811531704092.html","https://ae-pic-a1.aliexpress-media.com/kf/S5e0184dc683b491e9a93d2b3f024863c0.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","225 sold","225","Free","2026-02-15 0:00:00","Not Available"
"3256812252377630","Glitter Maltose Popsicle Squishy Toy Stretchable Slow Rebound Anxiety Relief Toy","US $4.79","US $11.64","58%","https://aliexpress.com/item/3256812252377630.html","https://ae-pic-a1.aliexpress-media.com/kf/S8ffde46b36f0439b91cf1c4f12e17c6dU.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","213 sold","213","Free","2026-06-03 0:00:00","Not Available"
"3256812184518417","Giant Cheese Squeeze Toy Extra Large Size Cheese Squishy Fidget Toys Slow Rebound Shapeable Venting Ball for Adults Gifts","US $19.90","US $45.91","56%","https://aliexpress.com/item/3256812184518417.html","https://ae-pic-a1.aliexpress-media.com/kf/S50fb4f9f15ce439fbc1978303432b79bK.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","213 sold","213","Free","2026-05-25 0:00:00","Not Available"
"3256812184370863","Football Maltose Fidgets Toys Squishy Basketball /rugby Maltose Squeeze Toy Fun Hand Exercise Relieve Anxiety Decompression Toy","US $19.26","US $47.91","59%","https://aliexpress.com/item/3256812184370863.html","https://ae-pic-a1.aliexpress-media.com/kf/Sf1d4afe5351848b59902d9346dbb3a70s.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","212 sold","212","Free","2026-05-25 0:00:00","Not Available"
"3256811494519696","Joyfy 100 Pcs Mini Animals & Fruit Mochi Squishies for Kids Party Favor Toys Stress Relief Novelty Fidget Toys Birthday Gifts","US $16.86","US $42.78","60%","https://aliexpress.com/item/3256811494519696.html","https://ae-pic-a1.aliexpress-media.com/kf/S6679219ec7994e10985913a575f2f2cct.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","202 sold","202","Free","2026-02-06 0:00:00","Not Available"
"3256812252339695","Fruit Filled Maltose Toothpaste Stress Relief Toy Soft Slow Rising Deformable Squeeze Squishy Fidget Sensory Toy","US $7.45","US $16.95","56%","https://aliexpress.com/item/3256812252339695.html","https://ae-pic-a1.aliexpress-media.com/kf/Sa9da68ca8d8d4ca3b23c510683bfa6afl.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","197 sold","197","Free","2026-06-03 0:00:00","Not Available"
"3256812076636078","Realistic Cheese Block Squishy Toy, Soft Slow Rising Squeeze Fidget, Simulation Fake Food Desk Decor, Kawaii Stress Relief Toy","US $5.48","US $14.34","61%","https://aliexpress.com/item/3256812076636078.html","https://ae-pic-a1.aliexpress-media.com/kf/S9348767ac0114c95b2d272c1a5786dc13.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","143 sold","143","Free","2026-05-09 0:00:00","Not Available"
"3256812076610143","Heart Shaped Squishy Toy, Soft Non-Sticky Quick Bounce Back, Cute Compact Portable Palm Sized Stress Relief Fidget Gift","US $18.18","US $47.58","61%","https://aliexpress.com/item/3256812076610143.html","https://ae-pic-a1.aliexpress-media.com/kf/S3d287b5524cd45e386f73eeef2d1eb5b4.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","139 sold","139","Free","2026-05-09 0:00:00","Not Available"
"3256812332907199","1Pc Colorful Glitter Transparent Axolotl Squishy Squeeze Toy Soft Silicone Slow Rising Sensory Fidget Anti Stress Relief Anxiety Office Desk Decor Kids Adults Birthday Christmas Gift Party Favors Goody Bag Filler","US $5.87","US $14.99","60%","https://aliexpress.com/item/3256812332907199.html","https://ae-pic-a1.aliexpress-media.com/kf/S4ad3354e6c39480eaedd6ad8c65d0a4ap.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","111 sold","111","Free","2026-06-17 0:00:00","Not Available"
"3256812407862134","1PC Daisy Designed Maltose Coconut Oil Squishy Soft Slow Rebound Squeeze Toy Unique Stretchy Texture Premium Fidget Gadget For Stress Relief Mood Release Adult Daily Leisure Desktop Display And Exquisite Holiday Gift Preparation","US $4.53","US $11.86","61%","https://aliexpress.com/item/3256812407862134.html","https://ae-pic-a1.aliexpress-media.com/kf/S6c1a28c2250f474faa9a26d07d5077faj.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","386 sold","386","Free","2026-06-25 0:00:00","Not Available"
"3256812408023625","Red Apple Strawberry Egg Tart Strawberry Cream Bar Squishy Stress Relief Toy Sensory Toy For Adults Anxiety Relaxation","US $4.45","US $11.66","61%","https://aliexpress.com/item/3256812408023625.html","https://ae-pic-a1.aliexpress-media.com/kf/Sbf78456169be4cd08e86d4de537f2a93t.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","264 sold","264","Free","2026-06-25 0:00:00","Not Available"
"3256812407981725","HOT 2026 1PC Casual Collection Squishy Mystery Box – 3 Random Pulls – Independent Odds Lucky Toy Set","US $6.65","US $15.29","56%","https://aliexpress.com/item/3256812407981725.html","https://ae-pic-a1.aliexpress-media.com/kf/Sdccb61ec06164482a8cba8608b3ac4ccv.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","202 sold","202","Free","2026-06-25 0:00:00","Not Available"
"3256812407856152","Draws Squishy Mystery Box Random Blind Pack Slow Rising Sensory Fidget Toy Set Stress Relief For Kids Adults","US $13.37","US $42.51","68%","https://aliexpress.com/item/3256812407856152.html","https://ae-pic-a1.aliexpress-media.com/kf/S156f04456b1c466c9f128e615958f8491.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","118 sold","118","Free","2026-06-25 0:00:00","Not Available"
"3256812402407120","Transparent Empty Bottle Shell Squeeze Fidget Toy, Stress Relief Squishy","US $3.08","US $7.67","59%","https://aliexpress.com/item/3256812402407120.html","https://ae-pic-a1.aliexpress-media.com/kf/S990401c6d2464e3fac83edf222816f86P.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","118 sold","118","Free","2026-06-25 0:00:00","Not Available"
